256
Atoms. Timestep: 66000
1 14.9731 14.8959 16.8864
1 14.9196 14.9043 4.67829
1 14.9229 14.9106 8.81881
1 14.9375 14.9178 12.8268
1 0.701442 16.9719 16.9428
1 0.657132 16.9469 4.71543
1 0.664462 16.947 8.80017
1 0.663591 0.660339 12.8798
1 16.9442 4.70139 0.709586
1 0.678589 4.70012 4.76162
1 0.682943 4.72136 8.80109
1 16.9279 4.7149 12.9045
1 16.9484 8.76512 0.680204
1 16.9564 8.84301 4.72556
1 0.697452 8.83108 8.81157
1 0.665629 8.78392 12.8927
1 0.641519 12.8685 16.8942
1 0.674586 12.897 4.69066
1 0.667908 12.8922 8.79565
1 0.644688 12.8452 12.8442
1 4.71225 0.682306 16.9697
1 4.71972 0.67306 4.73834
1 4.72857 0.656581 8.80661
1 4.72009 16.957 12.8542
1 4.74029 4.74918 0.694246
1 4.68908 4.73069 4.72899
1 4.69207 4.73362 8.84361
1 4.72052 4.75455 12.9285
1 4.72397 8.82345 0.690537
1 4.69258 8.82282 4.75103
1 4.73851 8.81702 8.83798
1 4.74161 8.79485 12.8855
1 4.7018 12.8539 16.9353
1 4.74985 12.9209 4.69275
1 4.76418 12.8997 8.79728
1 4.71111 12.8431 12.8714
1 8.76897 16.9594 16.9516
1 8.79994 0.680492 4.68783
1 8.82843 0.687987 8.80077
1 8.76936 0.672622 12.8869
1 8.82561 4.70256 0.679214
1 8.82247 4.72531 4.74598
1 8.80302 4.71597 8.83502
1 8.80542 4.73519 12.8615
1 8.84366 8.83919 0.668711
1 8.81757 8.81311 4.72205
1 8.78751 8.77768 8.79078
1 8.82507 8.80351 12.8897
1 8.81971 12.8767 16.9453
1 8.81517 12.884 4.70781
1 8.8068 12.8608 8.78623
1 8.81281 12.8586 12.8353
1 12.8911 16.9434 16.9372
1 12.8841 0.673243 4.7125
1 12.8629 0.673552 8.79793
1 12.8799 0.64082 12.8573
1 12.8623 4.71383 0.649285
1 12.8854 4.70856 4.73514
1 12.9114 4.74127 8.83172
1 12.8911 4.70591 12.888
1 12.8792 8.81633 0.678066
1 12.9143 8.8486 4.72943
1 12.9128 8.7759 8.82675
1 12.8714 8.77401 12.8342
1 12.9138 12.8662 16.912
1 12.9054 12.8995 4.72528
1 12.8713 12.8471 8.79382
1 12.8743 12.859 12.8524
256
Atoms. Timestep: 67000
1 0.653698 2.69325 2.67924
1 16.9176 2.66762 6.74477
1 0.646183 2.68407 10.8214
1 16.9739 2.72686 14.9188
1 0.661262 6.79082 2.64989
1 16.9658 6.80706 6.73336
1 0.667507 6.76491 10.8566
1 16.9659 6.7894 14.9232
1 16.9464 10.8209 2.65901
1 0.635974 10.8712 6.73737
1 0.66728 10.856 10.8239
1 0.658044 10.8424 14.8973
1 0.68268 14.895 2.67685
1 16.9499 14.9128 6.79235
1 0.652073 14.9191 10.8447
1 0.721489 14.9485 14.9178
1 4.73434 2.672 2.69986
1 4.72019 2.64058 6.7928
1 4.69021 2.65591 10.8296
1 4.73025 2.70406 14.8833
1 4.7341 6.77404 2.66073
1 4.69697 6.76038 6.77193
1 4.7328 6.80595 10.8505
1 4.74357 6.77026 14.9143
1 4.69882 10.7997 2.66637
1 4.74067 10.8686 6.74543
1 4.74634 10.8333 10.8255
1 4.71325 10.8512 14.9098
1 4.68669 14.9079 2.69472
1 4.74169 14.9078 6.78588
1 4.73197 14.9005 10.83
1 4.72304 14.9228 14.892
1 8.81818 2.66408 2.67195
1 8.7992 2.67817 6.77452
1 8.80741 2.69585 10.8522
1 8.79654 2.69261 14.9089
1 8.84104 6.76816 2.68452
1 8.81416 6.76505 6.79419
1 8.81986 6.75382 10.8455
1 8.8386 6.78031 14.9151
1 8.81238 10.8192 2.71282
1 8.79672 10.8219 6.78389
1 8.81003 10.8571 10.8423
1 8.81464 10.8688 14.9247
1 8.79339 14.8994 2.74343
1 8.83853 14.9084 6.79132
1 8.81244 14.8852 10.8416
1 8.81027 14.9162 14.9602
1 12.8497 2.68786 2.67359
1 12.8594 2.70991 6.74179
1 12.8883 2.68174 10.8582
1 12.8716 2.71644 14.8884
1 12.8753 6.76359 2.68049
1 12.8901 6.78119 6.7617
1 12.9141 6.76947 10.8114
1 12.8598 6.75114 14.9025
1 12.8812 10.8428 2.71007
1 12.8811 10.8087 6.76479
1 12.8697 10.8598 10.8657
1 12.9049 10.8602 14.8955
